Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
4801,Newsprint,Paper articles,Paper Goods,1.971,2.765,0.011,-1.199,1.264,1.746,608719131.0347567
2931,Other Organo-Inorganic Compounds,Organic chemicals,Chemical Products,1.971,2.765,0.017,-1.413,1.242,1.749,707903752.4243933
9205,Wind Instruments,Musical instruments,Instruments,1.971,2.765,0.005,-1.623,1.23,1.786,60809544.747268416
3207,Prepared Pigments,"Paints, dyes, & varnishes",Chemical Products,2.021,2.816,0.765,-0.909,0.799,0.522,190968620.70380604
8412,Other Engines,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.545,1.201,0.837,0.724,1146229270.551404
7229,Steel Wire,Iron & steel,Metals,2.021,2.816,0.565,0.015,0.833,0.761,136322398.77814984
2823,Titanium Oxides,Inorganic chemicals,Chemical Products,2.021,2.816,0.465,-0.907,0.843,0.963,48223871.01692285
3506,Glues,"Glues, starches, & albuminoid products",Chemical Products,2.021,2.816,0.408,0.567,0.857,0.967,681277494.1423739
4008,Rubber Sheets,Rubber & articles thereof,Plastics and Rubbers,2.021,2.816,0.374,1.139,0.883,0.987,249732965.06990144
9304,"Spring, Air, and Gas Guns",Weapons,Weapons,2.021,2.816,0.389,0.525,0.844,0.999,49610078.595342904
2918,Carboxylic Acids,Organic chemicals,Chemical Products,2.021,2.816,0.387,-0.831,0.932,1.081,583617657.6647335
3813,Fire Extinguishers Preparations,Chemical products n.e.s.,Chemical Products,2.021,2.816,0.319,-0.762,0.883,1.185,17666566.32621789
2941,Antibiotics,Organic chemicals,Chemical Products,2.021,2.816,0.261,-0.3,0.946,1.252,725078344.0261003
5906,Rubber Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,2.021,2.816,0.188,0.928,0.907,1.299,102544905.82897326
3212,Nonaqueous Pigments,"Paints, dyes, & varnishes",Chemical Products,2.021,2.816,0.198,0.417,0.981,1.313,143049590.2001389
3004,Packaged Medicaments,Pharmaceutical products,Chemical Products,2.021,2.816,0.121,0.411,0.948,1.445,29450620039.116096
3909,Amino-resins,Plastics & articles thereof,Plastics and Rubbers,2.021,2.816,0.11,0.602,0.971,1.452,1334140200.9585285
3804,Wood Pulp Lyes,Chemical products n.e.s.,Chemical Products,2.021,2.816,0.145,-0.497,0.919,1.459,35298649.50303223
