Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
3909,Amino-resins,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.11,0.971,1.452,0.602,0.0,1334140200.9585285
3804,Wood Pulp Lyes,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.145,0.919,1.459,-0.497,0.0,35298649.50303223
8436,Other Agricultural Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.108,0.994,1.465,0.445,0.0,590676185.7854539
5502,Artificial Filament Tow,Man-made staple fibres,Textiles,False,True,extended only,0.153,1.329,1.506,-1.451,0.0,142249382.9403288
2937,Hormones,Organic chemicals,Chemical Products,False,True,extended only,0.142,1.19,1.518,-1.354,0.0,1466889511.4820337
8422,Washing and Bottling Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.066,0.997,1.524,0.692,0.0,2388824926.3839884
7220,Flat-Rolled Stainless Steel,Iron & steel,Metals,False,True,extended only,0.115,1.397,1.529,-0.779,0.0,390663400.5389253
3908,Polyamides,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.094,1.453,1.551,-0.522,0.0,1131867690.3099053
7613,Aluminium Gas Containers,Aluminum articles,Metals,False,True,extended only,0.058,1.058,1.554,0.46,0.0,46310526.64767584
4902,Newspapers,"Books, newspapers, & other prints",Paper Goods,False,True,extended only,0.043,1.198,1.566,0.672,0.0,204837557.28327334
3905,Other Vinyl Polymers,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.062,0.938,1.575,0.014,0.0,413138310.4089414
2903,Halogenated Hydrocarbons,Organic chemicals,Chemical Products,False,True,extended only,0.109,0.907,1.577,-1.353,0.0,904768158.0268764
7107,Silver Clad Metals,"Precious stones, metals, & pearls",Precious Metals,False,True,extended only,0.113,1.036,1.581,-1.536,0.0,10625517.588731488
3821,Micro-Organism Culture Preparations,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.085,1.385,1.582,-0.774,0.0,254126416.8533195
8439,Papermaking Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.068,1.491,1.59,-0.425,0.0,408601419.5729812
7319,Iron Sewing Needles,Iron/Steel Articles,Metals,False,True,extended only,0.092,1.009,1.596,-1.167,0.0,23866537.302607417
9011,Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.049,1.155,1.597,0.019,0.0,219564267.29360262
7018,Glass Beads,Glass & glassware,Stone And Glass,False,True,extended only,0.086,0.933,1.6,-1.073,0.0,106708826.10006925
8460,Metal Finishing Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.06,1.423,1.609,-0.465,0.0,292732440.91963035
2930,Organo-Sulfur Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.09,1.391,1.61,-1.335,0.0,635541120.7782798
9114,Other Clocks and Watches,"Clocks, watches, & parts",Instruments,False,True,extended only,0.104,1.289,1.61,-1.703,0.0,122568001.02542083
8441,Other Paper Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.054,1.149,1.612,-0.367,0.0,579730612.9561714
8463,Other Non-Metal Removal Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.048,1.037,1.625,-0.401,0.0,138424997.5265389
