Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
8459,Drilling Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.258,1.097,1.203,-0.222,0.0,111157065.14994352
3215,Ink,"Paints, dyes, & varnishes",Chemical Products,False,True,extended only,0.223,0.88,1.204,0.745,0.0,478866412.8513792
8462,Forging Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.265,1.441,1.205,-0.47,0.0,363031061.45281196
8442,Print Production Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.235,0.834,1.212,0.264,0.0,50706591.908583894
8716,"Trailers and semi-trailers, not mechanically propelled vehicles","Cars, tractors, trucks & parts thereof.",Transportation,False,True,extended only,0.241,0.901,1.218,-0.006,0.0,1235249779.5705817
9612,Ink Ribbons,Misc. manufactures,Miscellaneous,False,True,extended only,0.19,1.237,1.222,1.392,0.0,63655198.9646681
8508,Vacuum Cleaners,Electrical machinery and electronics,Machines,False,True,extended only,0.206,1.181,1.233,0.717,0.0,884635613.1496308
9011,Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.2,1.155,1.241,0.763,0.0,116211733.6833461
9101,Precious Metal Watches,"Clocks, watches, & parts",Instruments,False,True,extended only,0.214,0.964,1.247,0.242,0.0,534934112.8548878
9103,Clocks with Watch Movements,"Clocks, watches, & parts",Instruments,False,True,extended only,0.229,0.763,1.247,-0.177,0.0,3491039.061138124
8509,Other Domestic Electric Housewares,Electrical machinery and electronics,Machines,False,True,extended only,0.193,0.988,1.252,0.788,0.0,1239920054.7942348
5910,Conveyor Belt Textiles,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.224,1.205,1.265,-0.345,0.0,26153009.99095473
9402,Medical Furniture,"Furniture, bedding, lamps, & prefab buildings",Miscellaneous,False,True,extended only,0.227,0.942,1.274,-0.566,0.0,193350735.06761342
8411,Gas Turbines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.236,1.049,1.279,-0.923,0.0,5895624460.574667
8420,Rolling Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.236,1.863,1.28,-0.932,0.0,56270934.844881415
3006,Special Pharmaceuticals,Pharmaceutical products,Chemical Products,False,True,extended only,0.198,0.875,1.296,-0.127,0.0,634336597.674017
3905,Other Vinyl Polymers,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.168,0.938,1.3,0.668,0.0,227327231.8054435
8479,Machinery Having Individual Functions,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.181,1.871,1.311,0.095,0.0,5772867578.798859
8423,Scales,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.191,0.993,1.318,-0.292,0.0,197115728.15501466
