Code,Name,Type_HS2,Group_Section,Mcp,Added_vol,RCA_final,Relatedness_final,mar_ECI,PCI_future,RCA_start,Relatedness_start,Relative_relatedness_start,Effort_Ycp
6404,Textile Footwear,Footwear,Footwear and Headwear,0.0,0.0,0.06822929517876217,0.18159745400790414,-0.0,-0.9715385847283523,0.03341670486265754,0.1732759339130455,-0.2735205272998061,1.6443445230192562
6405,Other Footwear,Footwear,Footwear and Headwear,0.0,0.0,0.12594387810104862,0.20268409487005487,-0.0,-0.8664745909422888,0.06409259117132826,0.20726274032519001,1.5894942724295604,1.4723800227859951
6406,Footwear Parts,Footwear,Footwear and Headwear,0.0,0.0,0.21248004853739114,0.20318834258340968,-0.0,-0.7254895422772404,0.16629068888883566,0.20814816999173047,1.6380298292241777,1.2931686071782602
6501,Hat Forms,Headgear,Footwear and Headwear,0.0,0.0,0.06332441939060253,0.2146061748597401,-0.0,-1.0523520765268795,0.0057128581689882395,0.19290906820325462,0.802685907167179,1.6267633354358502
6502,Hat Shapes,Headgear,Footwear and Headwear,0.0,0.0,0.21083165391373887,0.22125624044691794,-0.0,-0.6634689915988007,0.20852813353735536,0.17350243678785984,-0.26110458557103,1.336251437319408
6504,Hats,Headgear,Footwear and Headwear,1.0,0.0,2.087516313773012,0.22065730654211393,0.0012279823953714813,-1.2424949145895074,2.7269637458729754,0.22433328853174997,-0.0517732002094469,-1.6644604012653499
6505,Knitted Hats,Headgear,Footwear and Headwear,0.0,0.0,0.6800679027118126,0.19973300834388116,-0.0,-1.2650252275790053,0.79389023367944,0.18031857168805757,0.1125274657029204,0.4256323856946431
6506,Other Headwear,Headgear,Footwear and Headwear,0.0,0.0,0.45004415110440715,0.2501026328553111,0.0,0.9695646036138212,0.5129434090302809,0.17151968815656313,-0.3697905856457233,0.8596367701533343
6507,Headbands and Linings,Headgear,Footwear and Headwear,1.0,0.0,1.4527198698908634,0.24952041439426353,0.0007200338827577637,-0.7285433740994461,1.920507907750347,0.21570494812356897,-0.8954560740365372,-0.7907807556807986
6601,Umbrellas,"Umbrellas, walking sticks, & whips",Footwear and Headwear,0.0,0.0,0.0621215587033478,0.22729603672374193,0.0,0.03351850937870996,0.03530761586514294,0.16495612504615162,-0.7295777061350703,1.6703438242194362
