hs4,code_trade,product_name,hs2_code,hs2_name,section
1901,1901,Malt Extract,19,"Preparations of cereals, flour, starch or milk",Foodstuffs
1902,1902,Pasta,19,"Preparations of cereals, flour, starch or milk",Foodstuffs
1903,1903,Tapioca,19,"Preparations of cereals, flour, starch or milk",Foodstuffs
1904,1904,Prepared Cereals,19,"Preparations of cereals, flour, starch or milk",Foodstuffs
1905,1905,Baked Goods,19,"Preparations of cereals, flour, starch or milk",Foodstuffs
2001,2001,Pickled Foods,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2002,2002,Processed Tomatoes,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2003,2003,Processed Mushrooms,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2004,2004,Other Frozen Vegetables,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2005,2005,Other Processed Vegetables,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2006,2006,Sugar Preserved Foods,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2007,2007,Jams,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2008,2008,Other Processed Fruits and Nuts,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2009,2009,Fruit Juice,20,"Preparations of vegetables, fruit, nuts or other plant parts",Foodstuffs
2101,2101,Coffee and Tea Extracts,21,Miscellaneous edible preparations,Foodstuffs
2102,2102,Yeast,21,Miscellaneous edible preparations,Foodstuffs
2103,2103,Sauces and Seasonings,21,Miscellaneous edible preparations,Foodstuffs
2104,2104,Soups and Broths,21,Miscellaneous edible preparations,Foodstuffs
2105,2105,Ice Cream,21,Miscellaneous edible preparations,Foodstuffs
2106,2106,Other Edible Preparations,21,Miscellaneous edible preparations,Foodstuffs
2201,2201,Water,22,"Beverages, spirits, & vinegar",Foodstuffs
2202,2202,Flavored Water,22,"Beverages, spirits, & vinegar",Foodstuffs
2203,2203,Beer,22,"Beverages, spirits, & vinegar",Foodstuffs
2204,2204,Wine,22,"Beverages, spirits, & vinegar",Foodstuffs
2205,2205,Vermouth,22,"Beverages, spirits, & vinegar",Foodstuffs
2206,2206,Other Fermented Beverages,22,"Beverages, spirits, & vinegar",Foodstuffs
2207,2207,Alcohol > 80% ABV,22,"Beverages, spirits, & vinegar",Foodstuffs
2208,2208,Hard Liquor,22,"Beverages, spirits, & vinegar",Foodstuffs
2209,2209,Vinegar,22,"Beverages, spirits, & vinegar",Foodstuffs
2301,2301,Animal Meal and Pellets,23,Food residues & wastes; animal fodder,Foodstuffs
2302,2302,Bran,23,Food residues & wastes; animal fodder,Foodstuffs
2303,2303,Starch Residue,23,Food residues & wastes; animal fodder,Foodstuffs
2304,2304,Soybean Meal,23,Food residues & wastes; animal fodder,Foodstuffs
2305,2305,Ground Nut Meal,23,Food residues & wastes; animal fodder,Foodstuffs
2306,2306,Other Vegetable Residues,23,Food residues & wastes; animal fodder,Foodstuffs
2307,2307,Wine Lees,23,Food residues & wastes; animal fodder,Foodstuffs
2308,2308,Other Vegetable Residues and Waste,23,Food residues & wastes; animal fodder,Foodstuffs
2309,2309,Animal Food,23,Food residues & wastes; animal fodder,Foodstuffs
2401,2401,Raw Tobacco,24,Tobacco & substitutes,Foodstuffs
2402,2402,Rolled Tobacco,24,Tobacco & substitutes,Foodstuffs
2403,2403,Processed Tobacco,24,Tobacco & substitutes,Foodstuffs
2501,2501,Salt,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2502,2502,Iron Pyrites,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2503,2503,Sulphur,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2504,2504,Graphite,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2505,2505,Sand,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2506,2506,Quartz,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2507,2507,Kaolin,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2508,2508,Clays,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2509,2509,Chalk,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2510,2510,Calcium Phosphates,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2511,2511,Barium Sulphate,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2512,2512,Siliceous Fossil Meals,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2513,2513,Pumice,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2514,2514,Slate,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2515,2515,"Marble, Travertine and Alabaster",25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2516,2516,Granite,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2517,2517,Gravel and Crushed Stone,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2518,2518,Dolomite,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2519,2519,Magnesium Carbonate,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2520,2520,Gypsum,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2521,2521,Limestone,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2522,2522,Quicklime,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2523,2523,Cement,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2524,2524,Asbestos,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2525,2525,Mica,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2526,2526,Soapstone,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2527,2527,"Natural cryolite, natural chiolite",25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2528,2528,Borax,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2529,2529,Feldspar,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2530,2530,Other Mineral,25,"Salt, sulphur, cement, lime, stone, & plaster",Mineral Products
2601,2601,Iron Ore,26,"Ores, slag and ash",Mineral Products
2602,2602,Manganese Ore,26,"Ores, slag and ash",Mineral Products
2603,2603,Copper Ore,26,"Ores, slag and ash",Mineral Products
2604,2604,Nickel Ore,26,"Ores, slag and ash",Mineral Products
2605,2605,Cobalt Ore,26,"Ores, slag and ash",Mineral Products
2606,2606,Aluminium Ore,26,"Ores, slag and ash",Mineral Products
2607,2607,Lead Ore,26,"Ores, slag and ash",Mineral Products
2608,2608,Zinc Ore,26,"Ores, slag and ash",Mineral Products
2609,2609,Tin Ores,26,"Ores, slag and ash",Mineral Products
2610,2610,Chromium Ore,26,"Ores, slag and ash",Mineral Products
2611,2611,Tungsten Ore,26,"Ores, slag and ash",Mineral Products
2612,2612,Uranium and Thorium Ore,26,"Ores, slag and ash",Mineral Products
2613,2613,Molybdenum Ore,26,"Ores, slag and ash",Mineral Products
2614,2614,Titanium Ore,26,"Ores, slag and ash",Mineral Products
2615,2615,"Niobium, Tantalum, Vanadium and Zirconium Ore",26,"Ores, slag and ash",Mineral Products
2616,2616,Precious Metal Ore,26,"Ores, slag and ash",Mineral Products
2617,2617,Other Ores,26,"Ores, slag and ash",Mineral Products
2618,2618,Granulated Slag,26,"Ores, slag and ash",Mineral Products
2619,2619,Slag Dross,26,"Ores, slag and ash",Mineral Products
2620,2620,"Non-Iron and Steel Slag, Ash and Residues",26,"Ores, slag and ash",Mineral Products
2621,2621,Other Slag and Ash,26,"Ores, slag and ash",Mineral Products
2701,2701,Coal Briquettes,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2702,2702,Lignite,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2703,2703,Peat,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2704,2704,Coke,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2705,2705,Non-Petroleum Gas,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2706,2706,Tar,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2707,2707,Coal Tar Oil,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2708,2708,Pitch Coke,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2709,2709,Crude Petroleum,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2710,2710,Refined Petroleum,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2711,2711,Petroleum Gas,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2712,2712,Petroleum Jelly,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2713,2713,Petroleum Coke,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
2714,2714,Bitumen and asphalt,27,"Mineral fuels, mineral oils and products of their distillation",Mineral Products
