Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TWN,0.765644161,0.863430272,0.96990447,0.92790397,0.872007022,1.090754559,1.313888486,1.439333789,1.430441909,1.534589012,1.624707732,1.65697519,1.649974258,1.652020074,1.719458354,1.867734209,1.934836058,1.987209169,1.887914978,1.895824536,1.943130884,1.975795291,2.090391745,2.109237955,2.194871864,2.222032396,2.279364998,2.190969607
COL,-0.274462298,-0.169192226,-0.073352968,0.017008494,-0.077560368,-0.036395317,0.121910909,0.19969766,-0.018713814,-0.069785824,-0.204400572,-0.139796979,0.018988639,0.181161999,0.163215553,0.16515669,0.152787479,0.225895084,0.340630305,0.329551118,0.166331984,0.242168729,0.119370121,0.155801357,0.195565226,0.20187717,0.212058461,0.140197567
CRI,-0.40998756,-0.367658448,-0.35027898,-0.293202765,-0.370425307,-0.215488051,-0.073319624,-0.135546508,-0.144606613,-0.217699048,-0.142497346,0.085030171,0.186455851,0.190329516,0.168137802,0.066741579,0.076777079,0.206705434,0.323766288,0.394762574,0.393576742,0.348961108,0.247061365,0.194194613,0.220131142,0.22809179,0.2287669,0.312377202
CIV,-0.787810534,-0.762468883,-0.754380379,-0.570718644,-0.475638378,-0.478102807,-0.441790394,-0.646694519,-0.696599598,-0.691513988,-0.729652848,-0.710639301,-0.75879533,-0.783404147,-0.90612457,-1.104029564,-0.925393434,-0.926231991,-0.753235286,-0.743648656,-0.696045945,-0.641375718,-0.710863804,-0.769267513,-0.859817438,-0.976972951,-0.972213177,-0.87347773
HRV,0.445024805,0.542196668,0.445827347,0.461158211,0.353043911,0.316293022,0.409994814,0.461710975,0.406176084,0.501386656,0.566876497,0.576838446,0.658940494,0.632349365,0.678455873,0.683236987,0.803113599,0.833242009,0.907320904,0.817145255,0.717430157,0.724223305,0.716461972,0.721897279,0.729843197,0.791291556,0.791716959,0.773616186
CUB,,,,-0.595415821,-0.397591659,-0.201923791,-0.235883226,-0.481776836,-0.614204638,-0.3916876,0.009188412,0.190846446,0.120008635,-0.103060359,-0.285256041,-0.178051765,-0.372519999,-0.015590926,0.030026197,0.121437167,-0.156375417,-0.245429998,-0.338358748,-0.289324399,-0.56325541,,,
CZE,1.014168777,1.140284027,1.138164414,1.161261202,1.137588669,1.233828024,1.248925511,1.33470797,1.357098347,1.368044831,1.408721168,1.396039493,1.384829368,1.387879194,1.410810635,1.495306286,1.613232305,1.639710538,1.623792054,1.65220811,1.585592442,1.569614158,1.579102439,1.562637965,1.606997164,1.578753988,1.608846329,1.548067181
COD,,-1.071200249,,,,,,,,,,,-1.542434008,-1.158707345,-1.380960621,-1.730263149,-1.504599777,-1.114906159,-1.38827431,-1.402643207,-1.208381147,-1.275433167,-0.778600299,-0.748650301,-0.878733489,-1.035789628,-1.519992105,-1.803041411
DNK,1.212686786,1.269499299,1.232594846,1.184948762,1.156642908,1.177002791,1.18991015,1.121660055,1.147237881,1.107367684,1.077043623,1.09208521,1.056870198,1.069257165,1.066768395,1.087565655,1.105039064,1.096743305,1.106556918,1.082709445,1.044709719,1.025304359,1.056051452,1.014826266,1.011910821,0.996821804,1.001622938,1.021077182
DOM,-1.092974035,-0.962888909,-0.885592832,-0.879055714,-0.969252466,-0.791264103,-0.600369694,-0.606722236,-0.622764656,-0.501942204,-0.418171054,-0.287583491,-0.122608905,-0.094308008,-0.068131509,-0.1900523,-0.107189494,-0.130007034,-0.14647259,-0.129209198,-0.092269298,-0.072326338,-0.153878042,-0.09034736,-0.095937307,-0.146292964,-0.023233502,0.095549222
ECU,-1.101227837,-1.146237075,-1.153098524,-1.109260251,-1.117413092,-1.016927715,-0.90800285,-0.904959026,-1.027216548,-0.984311365,-1.006301351,-0.919989578,-0.731019918,-0.743312172,-0.813800511,-0.828569329,-0.652765198,-0.565130006,-0.554209242,-0.784860602,-0.772548767,-0.806751136,-0.828044116,-0.734376132,-0.799646766,-0.870793395,-0.829580279,-0.767673262
EGY,-0.631977389,-0.621352071,-0.68909804,-0.654634531,-0.641982783,-0.603462428,-0.473618211,-0.54247746,-0.486600617,-0.444483126,-0.386431136,-0.294004583,-0.136076188,-0.056536978,-0.128642995,-0.183113697,-0.218740731,-0.260958757,-0.164517651,-0.089019301,-0.115592633,-0.036676412,-0.131212702,-0.084950482,-0.12215066,-0.154548297,-0.153771297,-0.080492392
