Country,Year,GDP_pc
KOR,2003,20278.0406421178
KWT,2003,35169.6335737863
LAO,2003,1038.71192767783
LBN,2003,6319.76518298647
LBR,2003,528.567395543421
LBY,2003,11267.0627623548
LKA,2003,2052.03045078787
LTU,2003,8218.69336289848
MAR,2003,2229.576171875
MDA,2003,1654.36629303195
MDG,2003,433.601040301214
MEX,2003,9221.99666693097
MKD,2003,3307.92040834712
MLI,2003,814.808466525191
MMR,2003,411.498764127557
MNG,2003,1775.64906676137
MOZ,2003,356.521157404125
MRT,2003,1308.56307582578
MWI,2003,397.224846758815
MYS,2003,6732.92049458099
NAM,2003,3232.30589658857
NER,2003,406.333757497876
NGA,2003,1717.2145111176
NIC,2003,1494.95618752566
NLD,2003,40981.8477039972
NOR,2003,69719.3122573679
NZL,2003,33517.0893271345
OMN,2003,19485.6441506077
PAK,2003,1090.27523993746
PAN,2003,7037.08164896629
PER,2003,3502.79165687646
PHL,2003,1892.82161995051
PNG,2003,1832.67870314447
POL,2003,7915.55424389704
PRT,2003,18846.5411893632
PRY,2003,4035.71833919936
QAT,2003,52255.320560255
ROU,2003,5410.30835796252
RUS,2003,6370.45361328125
SAU,2003,20765.9387688082
SDN,2003,1226.42077636719
SEN,2003,1074.38578467686
SGP,2003,36709.7965038255
SLV,2003,3057.16467629097
SRB,2003,4233.77644906089
SVK,2003,10168.02256533
SVN,2003,17635.3608581831
SWE,2003,43475.3655433221
TCD,2003,661.556916681677
TGO,2003,702.799255960869
THA,2003,4018.15538187068
TKM,2003,2295.29620574541
TUN,2003,3058.22895827842
TUR,2003,6496.07277294612
TZA,2003,621.720703125
UGA,2003,564.720539196569
UKR,2003,1814.25854492188
URY,2003,9878.75684344081
USA,2003,49662.7520549839
UZB,2003,1381.8257280882
VEN,2003,3079.6634541359
VNM,2003,1418.74337471509
YEM,2003,2164.86083019467
ZAF,2003,5011.62223150169
ZMB,2003,863.650190656785
ZWE,2003,1250.91948331231
AGO,2004,2583.32411461288
ALB,2004,2567.29763687121
